,atm_type,aero_type,band_name,coef_1,coef_2,coef_3,coef_4,coef_5,coef_6,coef_7,intercept
0,sas,maritime,band_1,0.25707721419998864,0.5357801625797571,0.7849853226652689,0.2988426162594641,1.4435444185206845,-1.6028707929117578,0.10666341839525185,0.19489067242721592
1,sas,maritime,band_2,0.3115003022247352,0.3992217580119048,0.717246752177381,0.21777887259707004,1.267727752048905,-1.4121456438193756,0.044551266297282545,0.14192451855496974
2,sas,maritime,band_3,0.336247100695188,0.3054384559628237,0.6570998461369164,0.16610846838507262,1.122492557103539,-1.262372594792771,0.004047317331769273,0.10166041695619271
3,sas,maritime,band_4,0.3427261425125132,0.24262749461726552,0.6052811490738063,0.13569211372417075,1.0063949121155116,-1.1476891277780419,-0.020575035022423516,0.07354605521425805
4,sas,maritime,band_5,0.3419587862560975,0.2289349967291429,0.5917764196184412,0.1325841485683279,0.9785597039739107,-1.1232365002012685,-0.02530226287430565,0.06745470520132635
5,sas,maritime,band_6,0.3405187403002445,0.21822645023105652,0.5786874711681437,0.12880447700587153,0.9523462715214539,-1.0997135083096203,-0.028216989336150782,0.06317737476264074
6,sas,maritime,band_7,0.33891812611949157,0.20832310336579754,0.5649996194196429,0.12272403452512536,0.9252563397526888,-1.0735777232751156,-0.03085400912535513,0.059099118366539305
7,sas,maritime,band_8,0.3374590171695869,0.2007106815851138,0.553106732156267,0.11554782788235311,0.9017578661384322,-1.0492563298980297,-0.032753290529320404,0.05596266759823937
8,sas,maritime,band_8A,0.3305589476117488,0.1863386902042941,0.5296780491414962,0.10651889021781873,0.8552457930573899,-1.0020438816792612,-0.035950663910808624,0.04968155255951184
9,sas,maritime,band_9,0.3362425917456728,0.1957270237796889,0.5446980310914197,0.1104745048372733,0.8854501228609681,-1.0322145135671315,-0.03384785061246105,0.0539789561508669
10,sas,maritime,band_10,0.3053050172065907,0.1571686277800915,0.46879570561247796,0.09117542654809868,0.7373822600023505,-0.8846207484514722,-0.03550689292497435,0.041705600107217716
11,sas,maritime,band_11,0.2950463307793731,0.14550729256660733,0.4422347657515326,0.08557189660950702,0.6898027046929139,-0.8383547551656109,-0.0344545927685902,0.03923535832201383
12,sas,maritime,band_12,0.25780208541665695,0.10872888886543287,0.3538368805626341,0.0557609119668382,0.536487199572032,-0.6731817925460608,-0.029553342928437663,0.03204276494823388
13,sas,continental,band_1,0.3616092319829899,0.4107295569597272,0.8019216339369434,0.222396917367843,1.7585679269860854,-1.8148634359890203,0.11083331519012497,0.1923507363334217
14,sas,continental,band_2,0.3858259937024937,0.2593045396632249,0.6705934133147831,0.13636276584705795,1.3464532549799262,-1.43718043851231,0.04914354384192662,0.13636114562464985
15,sas,continental,band_3,0.36994328922853575,0.15850472865643558,0.5474987363021391,0.08158302892104867,1.0204251049041524,-1.1309328278760897,0.010857578429614906,0.0924221066036679
16,sas,continental,band_4,0.32452756584680936,0.08969026487218337,0.4237605861187832,0.044012916773358515,0.7382540968455109,-0.8543464773238103,-0.009836730261020362,0.05936991668057054
17,sas,continental,band_5,0.3062226212402938,0.0749928028849255,0.3880810979190442,0.036830215277829766,0.6648236050651047,-0.7799423114307238,-0.01307597900359024,0.05157845931731442
18,sas,continental,band_6,0.2902180124304215,0.0645212657609046,0.35935570602046263,0.03184405567838219,0.6080358289529508,-0.7215335761149322,-0.014771324101170135,0.04602570710615672
19,sas,continental,band_7,0.27139983371478954,0.05452212739320744,0.32786953409434383,0.026483623952930517,0.5477282930343148,-0.6579030850170772,-0.01591591723012789,0.04044892885791951
20,sas,continental,band_8,0.25387640380514415,0.04644851834396123,0.29972240479852014,0.02152393067275943,0.4948645156732891,-0.6009528563616554,-0.016395761686392514,0.03591354466920771
21,sas,continental,band_8A,0.21752353663612314,0.03375608201913486,0.2470533831005586,0.012846763728460274,0.40020125788075495,-0.494292668875938,-0.017118894907412266,0.02702598526031788
22,sas,continental,band_9,0.24083320505466654,0.04175103118061996,0.2804637693617845,0.018546826662802263,0.45995250246828856,-0.5622094307543654,-0.016448948344275523,0.032940106325460905
23,sas,continental,band_10,0.1351392190264153,0.019287487119180713,0.14401176345527264,-0.00086684796967409,0.22460388262246744,-0.2846026841867999,-0.012289901849920837,0.01465696162654366
24,sas,continental,band_11,0.10930127628354147,0.018826027133401386,0.11782790481004767,0.0015964249397441934,0.1807682224797968,-0.23339170837661363,-0.0101882256578297,0.011797955907949388
25,sas,continental,band_12,0.08086402236612321,0.01864623589154031,0.08785575676772231,0.001344689179981647,0.13402893233944857,-0.175296704472514,-0.008089967021800952,0.00837966654531333
